"Date","Price","Open","High","Low","Change %"
"Mar 25, 2022","22,861.0","22,869.5","22,877.0","22,842.5","-0.03%"
"Mar 24, 2022","22,869.0","22,874.5","22,880.0","22,842.5","-0.01%"
"Mar 23, 2022","22,872.0","22,877.5","22,883.5","22,860.0","0.01%"
"Mar 22, 2022","22,870.0","22,870.0","22,877.5","22,842.5","0.04%"
"Mar 21, 2022","22,860.0","22,865.0","22,894.5","22,842.5","0.00%"
"Mar 18, 2022","22,860.0","22,872.5","22,877.5","22,857.0","-0.02%"
"Mar 17, 2022","22,865.0","22,875.5","22,882.0","22,863.5","-0.06%"
"Mar 16, 2022","22,879.0","22,879.5","22,886.5","22,866.5","-0.00%"
"Mar 15, 2022","22,880.0","22,892.5","22,902.5","22,876.5","-0.04%"
"Mar 14, 2022","22,890.0","22,850.0","22,902.0","22,836.5","0.07%"
"Mar 11, 2022","22,873.0","22,840.0","22,920.0","22,837.5","0.17%"
"Mar 10, 2022","22,835.0","22,850.0","22,856.5","22,835.0","0.00%"
"Mar 09, 2022","22,835.0","22,847.5","22,852.5","22,834.0","-0.04%"
"Mar 08, 2022","22,845.0","22,850.0","22,854.0","22,842.5","0.00%"
"Mar 07, 2022","22,845.0","22,845.0","22,862.5","22,837.5","0.07%"
"Mar 04, 2022","22,830.0","22,840.0","22,845.0","22,835.0","-0.02%"
"Mar 03, 2022","22,835.0","22,845.0","22,855.0","22,818.0","-0.02%"
"Mar 02, 2022","22,840.0","22,821.0","22,845.0","22,810.0","0.11%"
"Mar 01, 2022","22,815.0","22,810.0","22,821.5","22,805.0","0.04%"
"Feb 28, 2022","22,805.0","22,842.5","22,869.5","22,805.0","-0.07%"
"Feb 25, 2022","22,820.0","22,845.0","22,845.0","22,815.0","-0.09%"
"Feb 24, 2022","22,840.0","22,830.0","22,845.0","22,820.0","0.07%"
"Feb 23, 2022","22,825.0","22,825.0","22,837.0","22,823.0","0.04%"
"Feb 22, 2022","22,815.0","22,810.0","22,839.0","22,800.0","0.07%"
"Feb 21, 2022","22,800.0","22,835.0","22,842.5","22,800.0","-0.09%"
"Feb 18, 2022","22,820.0","22,790.0","22,905.0","22,790.0","0.15%"
"Feb 17, 2022","22,785.0","22,752.5","22,790.0","22,752.5","0.15%"
"Feb 16, 2022","22,750.0","22,752.5","22,765.0","22,745.0","0.00%"
"Feb 15, 2022","22,750.0","22,747.5","22,765.0","22,740.0","0.11%"
"Feb 14, 2022","22,725.0","22,695.0","22,755.0","22,695.0","0.18%"
"Feb 11, 2022","22,685.0","22,684.0","22,700.0","22,675.5","0.02%"
"Feb 10, 2022","22,680.0","22,685.0","22,707.5","22,681.5","0.00%"
"Feb 09, 2022","22,680.0","22,742.5","22,750.0","22,690.0","-0.15%"
"Feb 08, 2022","22,715.0","22,695.0","22,722.5","22,670.0","0.22%"
"Feb 07, 2022","22,665.0","22,652.5","22,682.5","22,640.0","0.09%"
"Jan 28, 2022","22,645.0","22,650.0","22,670.0","22,637.5","0.07%"
"Jan 27, 2022","22,630.0","22,640.0","22,659.5","22,635.0","0.00%"
"Jan 26, 2022","22,630.0","22,635.0","22,675.0","22,630.0","0.00%"
"Jan 25, 2022","22,630.0","22,635.0","22,702.5","22,635.0","-0.20%"
"Jan 24, 2022","22,675.0","22,630.0","22,700.0","22,625.0","0.22%"
"Jan 21, 2022","22,625.0","22,650.0","22,675.0","22,617.5","-0.09%"
"Jan 20, 2022","22,645.0","22,700.0","22,740.0","22,640.0","-0.24%"
"Jan 19, 2022","22,700.0","22,735.0","22,810.0","22,700.0","-0.22%"
"Jan 18, 2022","22,750.0","22,750.0","22,815.0","22,730.0","0.13%"
"Jan 17, 2022","22,720.0","22,720.0","22,736.5","22,710.0","0.04%"
"Jan 14, 2022","22,710.0","22,730.0","22,730.0","22,690.0","0.00%"
"Jan 13, 2022","22,710.0","22,702.5","22,715.0","22,685.0","0.05%"
"Jan 12, 2022","22,698.0","22,690.0","22,710.0","22,690.0","0.00%"
"Jan 11, 2022","22,698.0","22,705.0","22,730.0","22,680.0","0.01%"
"Jan 10, 2022","22,695.0","22,752.5","22,760.0","22,675.0","0.04%"
"Jan 07, 2022","22,685.0","22,745.0","22,751.5","22,685.0","-0.26%"
"Jan 06, 2022","22,745.0","22,757.5","22,811.0","22,747.5","-0.04%"
"Jan 05, 2022","22,755.0","22,750.0","22,770.0","22,735.0","0.01%"
"Jan 04, 2022","22,752.0","22,770.0","22,782.5","22,750.0","-0.32%"
"Dec 31, 2021","22,825.0","22,760.0","22,857.5","22,747.5","0.26%"
"Dec 30, 2021","22,765.0","22,822.5","22,840.0","22,770.0","-0.24%"
"Dec 29, 2021","22,820.0","22,840.0","22,842.5","22,820.0","-0.07%"
"Dec 28, 2021","22,835.0","22,820.0","22,890.0","22,802.5","0.11%"
"Dec 27, 2021","22,810.0","22,835.0","22,838.5","22,790.0","-0.13%"
"Dec 24, 2021","22,840.0","22,940.0","22,955.0","22,850.0","-0.48%"
"Dec 23, 2021","22,950.0","22,970.0","22,980.0","22,920.0","-0.02%"
"Dec 22, 2021","22,955.0","22,980.0","22,982.5","22,917.5","0.10%"
"Dec 21, 2021","22,933.0","22,935.0","22,936.5","22,885.0","0.02%"
"Dec 20, 2021","22,928.0","22,930.0","22,985.0","22,915.0","-0.23%"
"Dec 17, 2021","22,980.0","23,035.0","23,035.0","22,910.0","-0.04%"
"Dec 16, 2021","22,990.0","23,030.0","23,060.0","22,987.5","-0.17%"
