Date,USD
2010-11-23,1377.5
2010-11-24,1372.5
2010-11-25,1373.25
2010-11-26,1355.0
2010-11-29,1357.0
2010-11-30,1383.5
2010-12-01,1385.5
2010-12-02,1389.0
2010-12-03,1403.5
2010-12-06,1415.25
2010-12-07,1420.0
2010-12-08,1385.5
2010-12-09,1391.25
2010-12-10,1375.25
2010-12-13,1399.0
2010-12-14,1394.5
2010-12-15,1388.75
2010-12-16,1363.0
2010-12-17,1368.5
2010-12-20,1380.0
2010-12-21,1383.0
2010-12-22,1387.0
2010-12-23,1373.5
2010-12-24,1373.5
2010-12-27,1373.5
2010-12-28,1373.5
2010-12-29,1412.5
2010-12-30,1405.5
2010-12-31,1405.5
2011-01-03,1405.5
2011-01-04,1388.5
2011-01-05,1368.0
2011-01-06,1368.5
2011-01-07,1367.0
2011-01-10,1368.25
2011-01-11,1374.0
2011-01-12,1378.75
2011-01-13,1381.5
2011-01-14,1367.0
2011-01-17,1360.5
2011-01-18,1369.5
2011-01-19,1372.0
2011-01-20,1345.5
2011-01-21,1343.5
2011-01-24,1343.0
2011-01-25,1324.0
2011-01-26,1328.0
2011-01-27,1334.5
2011-01-28,1319.0
2011-01-31,1327.0
2011-02-01,1331.5
2011-02-02,1337.0
2011-02-03,1328.0
2011-02-04,1355.0
2011-02-07,1347.5
2011-02-08,1363.5
2011-02-09,1365.0
2011-02-10,1353.25
2011-02-11,1364.0
2011-02-14,1365.0
2011-02-15,1372.75
2011-02-16,1371.25
2011-02-17,1379.0
2011-02-18,1383.5
2011-02-21,1403.0
2011-02-22,1401.0
2011-02-23,1409.25
2011-02-24,1411.5
2011-02-25,1402.5
2011-02-28,1411.0
2011-03-01,1420.75
2011-03-02,1435.5
2011-03-03,1421.5
2011-03-04,1427.0
2011-03-07,1437.5
2011-03-08,1426.25
2011-03-09,1431.0
2011-03-10,1413.25
2011-03-11,1411.5
2011-03-14,1422.25
2011-03-15,1400.5
2011-03-16,1402.0
2011-03-17,1403.75
2011-03-18,1420.0
2011-03-21,1432.0
2011-03-22,1426.0
2011-03-23,1439.5
2011-03-24,1447.0
2011-03-25,1436.0
2011-03-28,1417.0
2011-03-29,1417.5
2011-03-30,1425.5
2011-03-31,1439.0
2011-04-01,1418.0
2011-04-04,1435.5
2011-04-05,1433.5
2011-04-06,1461.5
2011-04-07,1459.5
2011-04-08,1469.5
2011-04-11,1468.0
2011-04-12,1450.5
2011-04-13,1457.5
2011-04-14,1465.75
2011-04-15,1476.75
2011-04-18,1493.0
2011-04-19,1490.5
2011-04-20,1501.0
2011-04-21,1504.0
2011-04-22,1504.0
2011-04-25,1504.0
2011-04-26,1497.5
2011-04-27,1511.0
2011-04-28,1535.5
2011-04-29,1535.5
2011-05-02,1535.5
2011-05-03,1540.25
2011-05-04,1541.0
2011-05-05,1511.0
2011-05-06,1486.5
2011-05-09,1502.0
2011-05-10,1513.5
2011-05-11,1508.0
2011-05-12,1489.5
2011-05-13,1505.75
2011-05-16,1500.75
2011-05-17,1478.5
2011-05-18,1496.5
2011-05-19,1493.0
2011-05-20,1490.75
2011-05-23,1510.5
2011-05-24,1527.0
2011-05-25,1526.25
2011-05-26,1518.5
2011-05-27,1533.0
2011-05-30,1533.0
2011-05-31,1536.5
2011-06-01,1533.75
2011-06-02,1539.5
2011-06-03,1540.0
2011-06-06,1549.0
2011-06-07,1545.0
2011-06-08,1537.75
2011-06-09,1537.75
2011-06-10,1529.25
2011-06-13,1526.25
2011-06-14,1516.0
2011-06-15,1529.75
2011-06-16,1523.25
2011-06-17,1537.5
2011-06-20,1544.0
2011-06-21,1544.75
2011-06-22,1552.5
2011-06-23,1523.0
2011-06-24,1514.75
2011-06-27,1498.0
2011-06-28,1499.0
2011-06-29,1504.25
2011-06-30,1505.5
2011-07-01,1483.0
2011-07-04,1495.0
2011-07-05,1510.0
2011-07-06,1527.25
2011-07-07,1527.5
2011-07-08,1541.5
2011-07-11,1555.5
2011-07-12,1550.5
2011-07-13,1579.0
2011-07-14,1590.5
2011-07-15,1587.0
2011-07-18,1599.0
2011-07-19,1601.0
2011-07-20,1586.0
2011-07-21,1601.0
2011-07-22,1602.0
2011-07-25,1613.5
2011-07-26,1612.75
2011-07-27,1625.0
2011-07-28,1613.5
2011-07-29,1628.5
2011-08-01,1623.0
2011-08-02,1637.75
2011-08-03,1669.25
2011-08-04,1679.5
2011-08-05,1658.75
2011-08-08,1693.0
2011-08-09,1736.0
2011-08-10,1772.0
2011-08-11,1760.0
2011-08-12,1736.0
2011-08-15,1739.0
2011-08-16,1782.5
2011-08-17,1790.0
2011-08-18,1824.0
2011-08-19,1848.0
2011-08-22,1877.5
2011-08-23,1876.0
2011-08-24,1770.0
2011-08-25,1729.0
2011-08-26,1788.0
2011-08-29,1788.0
2011-08-30,1825.0
2011-08-31,1813.5
2011-09-01,1821.0
2011-09-02,1875.25
2011-09-05,1895.0
2011-09-06,1895.0
2011-09-07,1810.0
2011-09-08,1855.0
2011-09-09,1851.0
2011-09-12,1834.0
2011-09-13,1820.0
2011-09-14,1818.5
2011-09-15,1782.0
2011-09-16,1794.0
2011-09-19,1794.0
2011-09-20,1799.0
2011-09-21,1793.0
2011-09-22,1722.0
2011-09-23,1689.0
2011-09-26,1598.0
2011-09-27,1659.0
2011-09-28,1643.0
2011-09-29,1613.0
2011-09-30,1620.0
2011-10-03,1655.5
2011-10-04,1638.0
2011-10-05,1617.0
2011-10-06,1635.0
2011-10-07,1652.0
2011-10-10,1661.0
2011-10-11,1663.0
2011-10-12,1682.0
2011-10-13,1656.0
2011-10-14,1678.0
2011-10-17,1682.0
2011-10-18,1631.0
2011-10-19,1652.5
2011-10-20,1620.0
2011-10-21,1642.5
2011-10-24,1652.0
2011-10-25,1656.0
2011-10-26,1715.0
2011-10-27,1718.0
2011-10-28,1741.0
2011-10-31,1722.0
2011-11-01,1699.0
2011-11-02,1743.0
2011-11-03,1758.0
2011-11-04,1749.0
2011-11-07,1782.0
2011-11-08,1795.0
2011-11-09,1784.0
2011-11-10,1756.0
2011-11-11,1773.0
2011-11-14,1776.0
2011-11-15,1785.0
2011-11-16,1756.0
2011-11-17,1742.5
2011-11-18,1719.0
2011-11-21,1702.0
2011-11-22,1699.0
2011-11-23,1681.0
2011-11-24,1692.5
2011-11-25,1688.5
2011-11-28,1714.0
2011-11-29,1717.0
2011-11-30,1746.0
2011-12-01,1752.0
2011-12-02,1747.0
2011-12-05,1744.0
2011-12-06,1708.0
2011-12-07,1735.5
2011-12-08,1715.0
2011-12-09,1709.0
2011-12-12,1659.5
2011-12-13,1672.5
2011-12-14,1603.0
2011-12-15,1574.0
2011-12-16,1594.0
2011-12-19,1598.0
2011-12-20,1613.5
2011-12-21,1608.0
2011-12-22,1606.5
2011-12-23,1606.5
2011-12-26,1606.5
2011-12-27,1606.5
2011-12-28,1571.0
2011-12-29,1531.0
2011-12-30,1531.0
2012-01-02,1531.0
2012-01-03,1598.0
2012-01-04,1613.0
2012-01-05,1599.0
2012-01-06,1616.5
2012-01-09,1615.0
2012-01-10,1637.0
2012-01-11,1634.5
2012-01-12,1661.0
2012-01-13,1635.5
2012-01-16,1641.0
2012-01-17,1656.0
2012-01-18,1647.0
